Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Public Health,Public Health Vector Control,Environmental Health Asst I,Retiree Part-time,12/18/17,7/27/24,Nonexempt,20.67
Public Health,Public Health Vector Control,Refuse Inspector,Permanent Full-time,9/23/14,3/8/16,Nonexempt,"47,958.94"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,8/11/08,10/9/16,Nonexempt,"62,974.98"
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,9/13/21,9/13/21,Nonexempt,"42,722.32"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,6/20/23,8/26/24,Nonexempt,"52,000.00"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,9/28/15,9/28/15,Nonexempt,"50,894.53"
Human Services,Human Services - VJCCCA,Family Services Supervisor,Permanent Full-time,6/16/08,9/21/24,Exempt,"87,137.19"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,9/11/23,9/11/23,Nonexempt,"46,890.68"
Human Services,Hum Svc Juvenile Detention Ctr,Detention Center Supervisor,Permanent Full-time,11/5/12,7/29/23,Exempt,"56,254.32"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,1/8/99,1/21/18,Nonexempt,"64,749.82"
Human Services,Hum Svc Div of Social Services,Family Services Associate,Casual Part-time,1/28/23,1/28/23,Nonexempt,19.82
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"46,890.68"
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,11/18/23,11/18/23,Nonexempt,"40,687.92"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,10/7/23,10/7/23,Nonexempt,"46,890.68"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"46,890.68"
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,1/5/04,7/13/24,Exempt,"68,301.00"
Human Services,Hum Svc Juvenile Detention Ctr,Laundry Worker,Permanent Full-time,10/30/06,7/1/14,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,7/8/14,4/13/15,Exempt,"70,395.49"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Special Project w/ Retirement,9/21/24,9/21/24,Nonexempt,19.56
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,8/12/23,8/21/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,5/22/21,9/12/22,Nonexempt,"40,687.92"
Human Services,Human Services - VJCCCA,Youth Detention Specialist III,Permanent Full-time,8/16/85,5/15/96,Nonexempt,"86,635.92"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,12/2/23,2/10/24,Nonexempt,"45,940.55"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist Sr,Permanent Full-time,6/23/03,10/10/22,Nonexempt,"55,152.56"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/8/00,8/26/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Supervisor,Permanent Full-time,2/23/16,7/6/20,Exempt,"60,833.10"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Supervisor,Permanent Full-time,10/1/15,3/28/22,Exempt,"66,229.30"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,7/15/23,7/15/23,Nonexempt,"51,750.00"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,2/23/99,8/16/10,Nonexempt,"69,035.29"
Human Services,Human Services - VJCCCA,Youth Detention Specialist III,Permanent Full-time,2/16/94,5/15/96,Nonexempt,"76,200.87"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,5/2/05,2/16/21,Exempt,"67,878.26"
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,3/30/19,7/13/24,Nonexempt,"41,277.60"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/22/22,10/22/22,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,11/4/23,11/4/23,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/5/24,10/5/24,Nonexempt,"41,775.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,3/14/20,4/13/20,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,8/2/06,7/31/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/19/04,7/14/08,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,3/16/19,10/5/24,Nonexempt,"41,775.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,10/25/21,10/24/22,Nonexempt,"55,856.24"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,8/22/05,12/8/11,Nonexempt,"56,661.01"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,5/8/23,8/26/24,Nonexempt,"51,580.00"
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,4/4/05,4/4/05,Nonexempt,"42,722.32"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,12/18/17,6/6/20,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist I,Permanent Full-time,11/7/20,2/28/22,Nonexempt,"43,882.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,9/9/23,9/9/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,5/9/16,5/9/16,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,2/8/94,5/15/96,Nonexempt,"60,051.64"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,10/5/15,10/5/15,Nonexempt,"50,894.53"
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,7/8/02,3/28/22,Exempt,"84,797.51"
Human Services,Hum Svc Div of Social Services,Human Services Senior Manager,Permanent Full-time,5/1/87,10/25/21,Exempt,"125,519.63"
Human Services,Hum Svc Div of Social Services,Director of Human Services,Permanent Full-time,5/18/15,4/26/21,Exempt,"178,302.56"
Human Services,Hum Svc Div of Social Services,Fiscal Manager II,Permanent Full-time,11/7/20,2/24/24,Exempt,"68,294.48"
Human Services,Hum Svc Div of Social Services,Family Services Worker III,Permanent Full-time,8/29/16,2/10/24,Exempt,"59,382.09"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Casual Part-time,5/18/24,5/18/24,Nonexempt,20.08
Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Permanent Full-time,8/20/01,9/18/17,Exempt,"53,439.13"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Intermittent Temporary,9/16/87,5/15/96,Nonexempt,25.27
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,5/18/24,5/18/24,Nonexempt,"58,217.51"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,8/26/23,8/26/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker III,Permanent Full-time,5/26/20,6/3/23,Exempt,"59,771.25"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,2/23/96,4/8/01,Nonexempt,"69,035.29"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,4/3/17,9/7/24,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,1/28/08,3/14/16,Nonexempt,"52,112.52"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/2/18,3/1/21,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,12/5/22,12/5/22,Nonexempt,"53,576.78"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,9/23/23,9/23/23,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Human Services Operations Mgr,Permanent Full-time,6/24/13,3/26/22,Exempt,"74,421.73"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Retiree Part-time,6/20/11,6/5/21,Nonexempt,21.09
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,9/26/20,9/26/20,Nonexempt,"54,718.14"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,5/8/14,1/6/20,Nonexempt,"53,991.54"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,10/10/16,2/25/23,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,9/9/23,9/9/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,5/28/19,10/24/22,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,1/2/01,12/19/11,Nonexempt,"60,824.55"
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,8/8/95,12/8/16,Exempt,"73,787.77"
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,4/18/16,4/18/16,Exempt,"95,415.31"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,6/5/06,5/22/21,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,3/9/24,3/9/24,Nonexempt,"53,576.72"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,1/23/15,9/9/24,Nonexempt,"51,912.43"
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,5/11/19,5/22/21,Exempt,"56,207.33"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,2/23/16,11/8/21,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Fraud Investigator,Permanent Full-time,10/24/05,3/25/23,Nonexempt,"58,067.86"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,8/1/22,8/1/22,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/7/23,10/7/23,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/18/96,7/1/14,Nonexempt,"51,160.63"
Human Services,Human Services - VJCCCA,Youth Detention Specialist III,Permanent Full-time,10/15/74,5/15/96,Nonexempt,"86,635.92"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,1/30/12,4/13/20,Exempt,"63,467.29"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,8/10/24,8/10/24,Exempt,"59,393.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,5/6/23,5/6/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,7/25/16,10/29/18,Exempt,"63,610.22"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,4/8/05,5/18/24,Nonexempt,"56,787.80"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,9/12/20,9/12/20,Exempt,"70,311.17"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,10/22/22,10/22/22,Exempt,"60,314.63"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,1/7/19,1/7/19,Nonexempt,"43,882.93"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,7/14/08,12/8/14,Nonexempt,"52,449.89"
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,12/21/15,9/27/21,Nonexempt,"43,882.80"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,4/20/24,4/20/24,Nonexempt,"49,680.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,6/23/15,6/26/17,Nonexempt,"55,302.32"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,5/27/08,5/27/08,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,6/21/04,5/8/21,Nonexempt,"60,115.55"
Human Services,Hum Svc Div of Social Services,Family Services Associate,Permanent Full-time,3/6/17,6/3/23,Nonexempt,"43,162.87"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,2/19/19,3/29/21,Nonexempt,"48,270.40"
Human Services,Hum Svc Div of Social Services,Financial Operations Mgr,Permanent Full-time,6/1/07,11/5/22,Exempt,"78,889.14"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Special Project w/ Retirement,10/5/24,10/5/24,Nonexempt,19.56
Human Services,Hum Svc Div of Social Services,Human Services Aide,Special Project w/ Retirement,9/7/24,9/7/24,Nonexempt,19.56
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,5/8/17,3/9/24,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,9/12/22,9/12/22,Nonexempt,"46,730.25"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/11/20,5/22/21,Nonexempt,"46,588.96"
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,6/14/04,3/20/17,Exempt,"83,427.96"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,1/7/19,2/25/23,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"49,680.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,4/27/19,4/25/22,Nonexempt,"50,356.70"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,7/15/23,7/15/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,3/23/24,3/23/24,Nonexempt,"53,820.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,9/27/21,6/3/24,Nonexempt,"53,577.32"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,10/25/21,10/24/22,Nonexempt,"55,856.24"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,8/20/18,4/24/21,Nonexempt,"53,712.13"
Human Services,Hum Svc Div of Social Services,Maintenance Worker I,Permanent Full-time,11/21/22,11/21/22,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,5/6/23,10/5/24,Nonexempt,"50,624.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,6/20/20,12/2/23,Nonexempt,"53,109.87"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,12/10/01,4/11/05,Nonexempt,"61,017.43"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,6/20/23,10/9/23,Nonexempt,"52,785.00"
Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Retiree Part-time,1/1/88,3/14/22,Exempt,26.52
Human Services,Hum Svc Div of Social Services,Mgmt Services Administrator,Permanent Full-time,6/17/13,7/1/19,Exempt,"122,620.41"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,9/23/23,9/23/23,Nonexempt,"56,407.50"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,3/28/22,12/2/23,Nonexempt,"53,250.75"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,12/3/22,10/9/23,Nonexempt,"53,820.00"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,6/19/17,6/19/17,Exempt,"71,093.78"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,8/30/21,10/22/22,Nonexempt,"55,097.41"
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist Sr,Permanent Full-time,10/5/15,10/5/15,Nonexempt,"55,302.72"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,7/17/21,11/7/22,Nonexempt,"54,800.72"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,9/12/22,10/9/23,Nonexempt,"51,750.00"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,10/13/97,8/6/18,Nonexempt,"55,637.54"
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,3/11/23,10/5/24,Nonexempt,"50,624.00"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,4/16/18,10/25/21,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Management Analyst I,Permanent Full-time,11/20/00,4/3/17,Exempt,"59,619.00"
Human Services,Hum Svc Div of Social Services,Accounting Technician II,Permanent Full-time,7/6/20,7/6/20,Nonexempt,"41,231.30"
Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Permanent Full-time,3/27/06,4/25/22,Exempt,"50,356.20"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,10/12/19,10/12/19,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,4/24/21,4/24/21,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,8/26/23,8/26/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,2/1/20,4/22/24,Nonexempt,"40,687.92"
Human Services,Human Services Detention Ctr,Management Analyst II,Special Project w/ Retirement,7/1/03,2/25/23,Exempt,"54,601.58"
Human Services,Hum Svc Div of Social Services,Family Services Associate,Permanent Full-time,5/18/24,5/18/24,Nonexempt,"47,415.42"
Human Services,Hum Svc Div of Social Services,Office Assistant,Permanent Full-time,2/8/00,2/8/00,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/5/22,7/5/22,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,5/20/23,5/20/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/18/13,1/4/20,Nonexempt,"52,755.42"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,1/1/88,5/15/96,Nonexempt,"49,020.73"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,6/22/09,4/27/19,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,10/26/11,10/26/11,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,4/22/96,2/24/97,Nonexempt,"41,238.71"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,7/1/23,7/1/23,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,8/20/18,4/24/21,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,5/9/22,5/9/22,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,11/8/21,7/13/24,Nonexempt,"40,688.00"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,7/23/06,5/18/24,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,9/24/12,12/6/21,Nonexempt,"46,588.97"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/13/19,8/31/20,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,4/6/24,5/18/24,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,2/27/17,6/24/19,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,10/25/21,10/25/21,Nonexempt,"50,465.74"
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,6/23/14,9/12/20,Nonexempt,"54,064.73"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,7/29/23,4/22/24,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,5/23/22,5/23/22,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/23/15,10/23/15,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Staff Technician II,Permanent Full-time,7/15/23,7/15/23,Nonexempt,"41,774.67"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,2/11/23,2/11/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/13/17,11/13/17,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,9/12/20,9/12/20,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,3/4/13,2/16/16,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,2/25/13,2/25/13,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,10/9/17,7/5/22,Exempt,"73,812.04"
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,5/28/96,4/8/02,Exempt,"78,000.04"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/9/18,7/9/18,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,1/14/13,7/1/14,Nonexempt,"50,764.99"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,12/10/18,11/8/21,Nonexempt,"46,588.97"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/29/23,7/29/23,Nonexempt,"46,589.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,1/9/15,4/6/24,Nonexempt,"55,152.78"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/30/17,10/30/17,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/18/05,1/31/22,Nonexempt,"46,588.97"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/23/17,10/23/17,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,7/20/19,7/20/19,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,10/21/23,10/21/23,Nonexempt,"40,687.92"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,3/28/11,3/28/11,Nonexempt,"47,958.94"
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,3/2/19,3/2/19,Nonexempt,20.08
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,9/23/23,9/23/23,Nonexempt,20.08
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,6/15/24,6/15/24,Nonexempt,20.08
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,6/15/24,6/15/24,Nonexempt,20.08
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,12/8/03,10/21/23,Nonexempt,20.08
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,1/12/15,6/6/20,Nonexempt,"47,958.76"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,1/18/08,3/28/11,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,9/8/16,9/8/16,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,2/25/23,2/25/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/13/19,4/13/19,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,6/13/16,12/10/18,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,9/21/24,9/21/24,Nonexempt,"41,775.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/23/15,4/23/15,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Fraud Investigator,Permanent Full-time,6/8/15,6/8/15,Nonexempt,"52,112.52"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,3/28/20,7/15/24,Nonexempt,"41,774.00"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,4/24/21,2/25/23,Nonexempt,"46,588.80"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Intermittent Temporary,3/5/18,9/7/24,Nonexempt,24.34
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,6/25/07,9/12/22,Nonexempt,"41,839.88"
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,6/1/12,1/8/18,Exempt,"69,971.24"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,3/6/91,5/15/96,Nonexempt,"61,552.15"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,3/8/05,6/25/07,Nonexempt,"49,284.26"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/6/17,11/6/17,Nonexempt,"47,958.94"
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,8/28/17,4/13/19,Nonexempt,"47,958.94"
